    , Unnamed: 0, committee_id, document                                        , received, due     , pages, pdf_url                                                  , pdf
 722,        722,        97020, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3083.PDF, /3083.PDF
 739,        739,        97095, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3087.PDF, /3087.PDF
 754,        754,        97117, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,    10, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3090.PDF, /3090.PDF
 767,        767,        97057, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     7, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3092.PDF, /3092.PDF
 778,        778,        97119, Post-Election Stmt - 11/05/2024 General Election, 12/03/24, 12/05/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3094.PDF, /3094.PDF
 793,        793,        96458, Post-Election Stmt - 11/05/2024 General Election, 12/02/24, 12/05/24,     6, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3097.PDF, /3097.PDF
 854,        854,        97043, Post-Election Stmt - 11/05/2024 General Election, 12/02/24, 12/05/24,     7, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3100.PDF, /3100.PDF
 871,        871,        97058, Post-Election Stmt - 11/05/2024 General Election, 11/26/24, 12/05/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3102.PDF, /3102.PDF
 884,        884,        96680, Post-Election Stmt - 11/05/2024 General Election, 11/13/24, 12/05/24,     2, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3105.PDF, /3105.PDF
 892,        892,        97033, Post-Election Stmt - 11/05/2024 General Election, 12/02/24, 12/05/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3466.PDF, /3466.PDF
 910,        910,        97243, Post-Election Stmt - 11/05/2024 General Election, 12/04/24, 12/05/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3470.PDF, /3470.PDF
 921,        921,        97078, Post-Election Stmt - 11/05/2024 General Election, 12/02/24, 12/05/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3507.PDF, /3507.PDF
 933,        933,        96900, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3514.PDF, /3514.PDF
 967,        967,        96942, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,     3, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3566.PDF, /3566.PDF
 981,        981,        96838, Post-Election Stmt - 11/05/2024 General Election, 11/18/24, 12/05/24,     4, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3582.PDF, /3582.PDF
 989,        989,        97112, Post-Election Stmt - 11/05/2024 General Election, 12/06/24, 12/06/24,     7, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3531.PDF, /3531.PDF
 995,        995,        96896, Post-Election Stmt - 11/05/2024 General Election, 12/05/24, 12/06/24,     5, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3575.PDF, /3575.PDF
1036,       1036,        97101, Post-Election Stmt - 11/05/2024 General Election, 12/04/24, 12/06/24,     6, https://campaignfinance.us/MI-OTTAWA/IndexedDocs/3682.PDF, /3682.PDF
